FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.00%       0.000us         0.00%       0.000us       0.000us        5.876s        97.54%        5.876s        1.959s             3  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.17%      27.977ms        40.29%        6.477s        2.159s       0.000us         0.00%        4.154s        1.385s             3  
                        [pl][profile]run_training_batch         0.01%       2.149ms        48.67%        7.825s        2.608s       0.000us         0.00%        2.760s     920.112ms             3  
    [pl][profile][LightningModule]MPflow.optimizer_step         0.00%      92.421us        48.66%        7.823s        2.608s       0.000us         0.00%        2.760s     920.112ms             3  
                               Optimizer.step#Lion.step         8.37%        1.346s        48.66%        7.823s        2.608s       0.000us         0.00%        2.760s     920.112ms             3  
                                       CompiledFunction         0.02%       2.837ms         0.08%      12.942ms     269.629us       0.000us         0.00%        2.092s      43.578ms            48  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        2.043s        33.91%        2.043s     680.990ms             3  
                                            aten::copy_         0.12%      19.610ms         9.70%        1.560s     347.723us        1.689s        28.04%        1.689s     376.645us          4485  
                                               aten::to         0.02%       3.118ms         9.70%        1.560s     353.934us       0.000us         0.00%        1.604s     363.977us          4407  
                                         aten::_to_copy         0.05%       7.364ms         9.68%        1.557s     541.639us       0.000us         0.00%        1.604s     558.123us          2874  
                                          ProfilerStep*        27.08%        4.353s        53.07%        8.532s        2.844s       0.000us         0.00%        1.424s     474.695ms             3  
[pl][module]hepattn.models.matcher.Matcher: model.ma...         0.00%       0.000us         0.00%       0.000us       0.000us        1.419s        23.55%        1.419s     472.958ms             3  
[pl][module]hepattn.models.matcher.Matcher: model.ma...        13.68%        2.199s        23.19%        3.728s        1.243s       0.000us         0.00%        1.415s     471.722ms             3  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us        1.415s        23.49%        1.415s     235.855ms             6  
                             Torch-Compiled Region: 3/0         0.00%     674.644us         3.93%     631.158ms      42.077ms       0.000us         0.00%        1.318s      87.849ms            15  
                             Torch-Compiled Region: 4/0         0.00%     660.647us         0.07%      11.659ms     777.284us       0.000us         0.00%        1.316s      87.730ms            15  
                             Torch-Compiled Region: 5/0         0.00%     554.577us         0.06%       9.069ms     604.568us       0.000us         0.00%        1.314s      87.612ms            15  
## Call CompiledFxGraph fsvrcehpnydldwv2r5gb3jzxxjuk...         0.00%       0.000us         0.00%       0.000us       0.000us        1.313s        21.79%        1.313s      87.528ms            15  
