FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.00%       0.000us         0.00%       0.000us       0.000us        3.264s       220.79%        3.264s        1.088s             3  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     966.622ms        65.39%     966.622ms     322.207ms             3  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.28%      24.853ms        43.81%        3.867s        1.289s       0.000us         0.00%     690.889ms     230.296ms             3  
[pl][module]hepattn.models.maskformer.MaskFormer: mo...         0.01%       1.012ms         6.55%     578.555ms     192.852ms       0.000us         0.00%     565.632ms     188.544ms             3  
                     aten::scaled_dot_product_attention         0.01%       1.246ms         0.24%      21.257ms     295.237us       0.000us         0.00%     517.659ms       7.190ms            72  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.03%       2.545ms         5.26%     464.017ms     154.672ms       0.000us         0.00%     461.236ms     153.745ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%       0.000us         0.00%       0.000us       0.000us     461.012ms        31.19%     461.012ms     153.671ms             3  
                        [pl][profile]run_training_batch         0.02%       2.001ms        50.93%        4.495s        1.498s       0.000us         0.00%     459.879ms     153.293ms             3  
    [pl][profile][LightningModule]MPflow.optimizer_step         0.00%     107.035us        50.90%        4.493s        1.498s       0.000us         0.00%     459.879ms     153.293ms             3  
                               Optimizer.step#Lion.step         7.09%     625.816ms        50.90%        4.493s        1.498s       0.000us         0.00%     459.879ms     153.293ms             3  
                                            aten::copy_         0.23%      20.589ms         2.23%     196.537ms      43.792us     318.586ms        21.55%     318.613ms      70.992us          4488  
                                          ProfilerStep*        29.39%        2.594s        54.92%        4.848s        1.616s       0.000us         0.00%     260.071ms      86.690ms             3  
                                       aten::layer_norm         0.01%       1.094ms         0.17%      15.380ms      40.689us       0.000us         0.00%     197.192ms     521.672us           378  
               aten::_scaled_dot_product_attention_math         0.00%     182.932us         0.05%       4.777ms     398.116us       0.000us         0.00%     196.320ms      16.360ms            12  
                                               aten::to         0.03%       2.828ms         1.72%     151.384ms      34.849us       0.000us         0.00%     188.831ms      43.469us          4344  
                                         aten::_to_copy         0.09%       7.891ms         1.68%     148.556ms      51.744us       0.000us         0.00%     188.831ms      65.772us          2871  
                                              aten::bmm         0.03%       2.970ms         0.05%       4.213ms      26.495us     141.072ms         9.54%     142.017ms     893.190us           159  
autograd::engine::evaluate_function: NativeLayerNorm...         0.02%       1.896ms         0.19%      16.942ms      78.437us       0.000us         0.00%     114.586ms     530.489us           216  
