FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.088s        62.74%        1.088s     362.515ms             3  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.50%      21.469ms        21.86%     936.283ms     312.094ms       0.000us         0.00%     698.815ms     232.938ms             3  
[pl][module]hepattn.models.maskformer.MaskFormer: mo...         0.02%     918.805us        14.28%     611.429ms     203.810ms       0.000us         0.00%     629.916ms     209.972ms             3  
                     aten::scaled_dot_product_attention         0.03%       1.079ms         0.41%      17.366ms     241.195us       0.000us         0.00%     608.923ms       8.457ms            72  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.06%       2.604ms        12.54%     537.170ms     179.057ms       0.000us         0.00%     534.728ms     178.243ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%       0.000us         0.00%       0.000us       0.000us     533.335ms        30.77%     533.335ms     177.778ms             3  
                        [pl][profile]run_training_batch         0.03%       1.391ms        38.61%        1.653s     551.165ms       0.000us         0.00%     465.795ms     155.265ms             3  
    [pl][profile][LightningModule]MPflow.optimizer_step         0.00%      75.214us        38.58%        1.652s     550.694ms       0.000us         0.00%     465.795ms     155.265ms             3  
                               Optimizer.step#Lion.step        16.71%     715.643ms        38.57%        1.652s     550.660ms       0.000us         0.00%     465.795ms     155.265ms             3  
                                            aten::copy_         0.26%      10.966ms         2.86%     122.331ms      27.257us     369.059ms        21.29%     369.229ms      82.270us          4488  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.00%       0.000us         0.00%       0.000us       0.000us     296.760ms        17.12%     296.760ms      98.920ms             3  
               aten::_scaled_dot_product_attention_math         0.00%     171.359us         0.09%       3.740ms     311.681us       0.000us         0.00%     265.913ms      22.159ms            12  
                                               aten::to         0.05%       2.136ms         2.41%     103.231ms      23.764us       0.000us         0.00%     262.732ms      60.481us          4344  
                                         aten::_to_copy         0.12%       5.194ms         2.36%     101.094ms      35.212us       0.000us         0.00%     262.732ms      91.512us          2871  
                                          ProfilerStep*        14.95%     640.130ms        47.47%        2.033s     677.617ms       0.000us         0.00%     253.389ms      84.463ms             3  
autograd::engine::evaluate_function: NativeLayerNorm...         0.04%       1.505ms         0.15%       6.404ms      29.650us       0.000us         0.00%     170.732ms     790.425us           216  
                               NativeLayerNormBackward0         0.02%     837.398us         0.11%       4.783ms      22.143us       0.000us         0.00%     163.781ms     758.244us           216  
                       aten::native_layer_norm_backward         0.03%       1.176ms         0.09%       3.945ms      18.266us     158.546ms         9.15%     163.781ms     758.244us           216  
