FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.00%       0.000us         0.00%       0.000us       0.000us     640.620ms        48.75%     640.620ms     213.540ms             3  
[pl][module]hepattn.models.matcher.Matcher: model.ma...         0.00%       0.000us         0.00%       0.000us       0.000us     537.393ms        40.90%     537.393ms     179.131ms             3  
void solve_cuda_kernel_batch<float>(int, int, int, f...         0.00%       0.000us         0.00%       0.000us       0.000us     518.073ms        39.43%     518.073ms     172.691ms             3  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     512.713ms        39.02%     512.713ms     170.904ms             3  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.84%      24.136ms        34.14%     986.798ms     328.933ms       0.000us         0.00%     403.091ms     134.364ms             3  
[pl][module]hepattn.models.maskformer.MaskFormer: mo...         0.03%     944.613us        11.37%     328.717ms     109.572ms       0.000us         0.00%     306.407ms     102.136ms             3  
                        [pl][profile]run_training_batch         0.06%       1.823ms        45.53%        1.316s     438.644ms       0.000us         0.00%     268.493ms      89.498ms             3  
    [pl][profile][LightningModule]MPflow.optimizer_step         0.00%      86.960us        45.47%        1.314s     438.027ms       0.000us         0.00%     268.493ms      89.498ms             3  
                               Optimizer.step#Lion.step        11.32%     327.119ms        45.46%        1.314s     437.990ms       0.000us         0.00%     268.493ms      89.498ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%       0.000us         0.00%       0.000us       0.000us     250.116ms        19.03%     250.116ms      83.372ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.09%       2.590ms         8.75%     252.808ms      84.269ms       0.000us         0.00%     245.879ms      81.960ms             3  
                     aten::scaled_dot_product_attention         0.04%       1.176ms         0.63%      18.130ms     251.800us       0.000us         0.00%     243.468ms       3.381ms            72  
                                          ProfilerStep*        23.19%     670.330ms        52.27%        1.511s     503.553ms       0.000us         0.00%     162.596ms      54.199ms             3  
                                       aten::layer_norm         0.03%     917.405us         0.47%      13.711ms      36.274us       0.000us         0.00%     158.213ms     418.554us           378  
                                            aten::copy_         0.45%      13.139ms         1.03%      29.651ms       6.907us      94.749ms         7.21%      94.749ms      22.071us          4293  
               aten::_scaled_dot_product_attention_math         0.01%     163.098us         0.14%       3.944ms     328.641us       0.000us         0.00%      90.164ms       7.514ms            12  
                                aten::native_layer_norm         0.09%       2.688ms         0.21%       6.038ms      27.952us      85.627ms         6.52%      85.926ms     397.807us           216  
