FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.00%       0.000us         0.00%       0.000us       0.000us        2.251s       270.18%        2.251s     750.210ms             3  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     691.113ms        82.97%     691.113ms     230.371ms             3  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.45%      27.022ms        43.35%        2.602s     867.331ms       0.000us         0.00%     431.736ms     143.912ms             3  
[pl][module]hepattn.models.maskformer.MaskFormer: mo...         0.02%       1.016ms         5.57%     334.464ms     111.488ms       0.000us         0.00%     306.458ms     102.153ms             3  
                        [pl][profile]run_training_batch         0.03%       1.560ms        50.66%        3.041s        1.014s       0.000us         0.00%     287.325ms      95.775ms             3  
    [pl][profile][LightningModule]MPflow.optimizer_step         0.00%      90.451us        50.63%        3.039s        1.013s       0.000us         0.00%     287.325ms      95.775ms             3  
                               Optimizer.step#Lion.step         7.28%     437.198ms        50.63%        3.039s        1.013s       0.000us         0.00%     287.325ms      95.775ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%       0.000us         0.00%       0.000us       0.000us     250.965ms        30.13%     250.965ms      83.655ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.04%       2.655ms         4.22%     253.225ms      84.408ms       0.000us         0.00%     245.917ms      81.972ms             3  
                     aten::scaled_dot_product_attention         0.02%       1.324ms         0.35%      20.993ms     291.563us       0.000us         0.00%     243.634ms       3.384ms            72  
                                          ProfilerStep*        28.73%        1.724s        55.05%        3.305s        1.102s       0.000us         0.00%     174.171ms      58.057ms             3  
                                       aten::layer_norm         0.02%       1.050ms         0.27%      16.111ms      42.622us       0.000us         0.00%     158.001ms     417.991us           378  
                                            aten::copy_         0.35%      21.300ms         2.98%     178.713ms      39.820us     145.523ms        17.47%     145.523ms      32.425us          4488  
               aten::_scaled_dot_product_attention_math         0.00%     196.612us         0.08%       4.568ms     380.702us       0.000us         0.00%      90.209ms       7.517ms            12  
                                aten::native_layer_norm         0.05%       2.899ms         0.12%       6.940ms      32.129us      85.517ms        10.27%      85.816ms     397.295us           216  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us      85.517ms        10.27%      85.517ms     395.912us           216  
                                               aten::to         0.05%       2.854ms         2.35%     140.889ms      32.433us       0.000us         0.00%      77.220ms      17.776us          4344  
                                         aten::_to_copy         0.13%       7.555ms         2.30%     138.035ms      48.079us       0.000us         0.00%      77.220ms      26.896us          2871  
