FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.00%       0.000us         0.00%       0.000us       0.000us        5.885s       126.48%        5.885s        1.962s             3  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.25%      40.159ms        39.64%        6.489s        2.163s       0.000us         0.00%        2.784s     927.927ms             3  
                                       CompiledFunction         0.04%       7.338ms         0.15%      23.746ms     494.715us       0.000us         0.00%        2.091s      43.572ms            48  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        2.040s        43.85%        2.040s     680.067ms             3  
                        [pl][profile]run_training_batch         0.01%       1.495ms        47.71%        7.812s        2.604s       0.000us         0.00%        1.848s     616.073ms             3  
    [pl][profile][LightningModule]MPflow.optimizer_step         0.00%      84.764us        47.70%        7.810s        2.603s       0.000us         0.00%        1.848s     616.073ms             3  
                               Optimizer.step#Lion.step         8.07%        1.321s        47.70%        7.810s        2.603s       0.000us         0.00%        1.848s     616.073ms             3  
                             Torch-Compiled Region: 3/0         0.03%       5.371ms         3.96%     648.773ms      43.252ms       0.000us         0.00%        1.317s      87.824ms            15  
                             Torch-Compiled Region: 4/0         0.00%     516.215us         0.15%      24.029ms       1.602ms       0.000us         0.00%        1.316s      87.705ms            15  
                             Torch-Compiled Region: 5/0         0.00%     668.912us         0.13%      21.675ms       1.445ms       0.000us         0.00%        1.314s      87.587ms            15  
## Call CompiledFxGraph fsvrcehpnydldwv2r5gb3jzxxjuk...         0.00%       0.000us         0.00%       0.000us       0.000us        1.312s        28.21%        1.312s      87.496ms            15  
                             Torch-Compiled Region: 6/0         0.02%       3.058ms         0.11%      18.326ms       1.222ms       0.000us         0.00%        1.312s      87.470ms            15  
## Call CompiledFxGraph fsvrcehpnydldwv2r5gb3jzxxjuk...         0.05%       7.449ms         0.06%       9.278ms     618.537us       0.000us         0.00%        1.312s      87.470ms            15  
triton_red_fused__to_copy_binary_cross_entropy_with_...         0.00%     183.764us         0.00%     251.798us      16.787us        1.300s        27.95%        1.300s      86.691ms            15  
triton_red_fused__to_copy_binary_cross_entropy_with_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.300s        27.95%        1.300s      86.691ms            15  
autograd::engine::evaluate_function: CompiledFunctio...         0.00%     244.910us         0.05%       7.996ms     166.586us       0.000us         0.00%        1.087s      22.643ms            48  
                               CompiledFunctionBackward         0.02%       2.857ms         0.05%       7.751ms     161.484us       0.000us         0.00%        1.087s      22.643ms            48  
                                          ProfilerStep*        28.54%        4.673s        52.17%        8.541s        2.847s       0.000us         0.00%     964.722ms     321.574ms             3  
